Created as New Dataset,
nm,%T
700.0,85.26
699.0,85.28
698.0,85.26
697.0,85.22
696.0,85.24
695.0,85.31
694.0,85.25
693.0,85.24
692.0,85.21
691.0,85.22
690.0,85.25
689.0,85.24
688.0,85.22
687.0,85.25
686.0,85.26
685.0,85.25
684.0,85.25
683.0,85.36
682.0,85.23
681.0,85.18
680.0,85.21
679.0,85.24
678.0,85.39
677.0,85.25
676.0,85.24
675.0,85.28
674.0,85.13
673.0,85.13
672.0,85.24
671.0,85.15
670.0,85.18
669.0,85.17
668.0,85.23
667.0,85.23
666.0,85.23
665.0,85.25
664.0,85.12
663.0,85.29
662.0,85.20
661.0,85.16
660.0,85.20
659.0,85.23
658.0,85.14
657.0,85.12
656.0,85.26
655.0,85.20
654.0,85.16
653.0,85.25
652.0,85.21
651.0,85.26
650.0,85.17
649.0,85.23
648.0,85.21
647.0,85.19
646.0,85.25
645.0,85.17
644.0,85.20
643.0,85.15
642.0,85.15
641.0,85.16
640.0,85.19
639.0,85.14
638.0,85.14
637.0,85.20
636.0,85.14
635.0,85.17
634.0,85.09
633.0,85.14
632.0,85.15
631.0,85.12
630.0,85.18
629.0,85.16
628.0,85.10
627.0,85.19
626.0,85.14
625.0,85.20
624.0,85.15
623.0,85.16
622.0,85.16
621.0,85.11
620.0,85.09
619.0,85.09
618.0,85.15
617.0,85.12
616.0,85.08
615.0,85.07
614.0,84.99
613.0,85.01
612.0,85.04
611.0,84.98
610.0,85.06
609.0,85.05
608.0,85.02
607.0,85.00
606.0,84.93
605.0,84.99
604.0,84.97
603.0,84.99
602.0,85.05
601.0,85.05
600.0,84.95
599.0,85.01
598.0,84.93
597.0,85.00
596.0,85.00
595.0,84.98
594.0,84.97
593.0,85.09
592.0,85.04
591.0,85.07
590.0,84.98
589.0,84.97
588.0,84.97
587.0,85.10
586.0,85.01
585.0,85.06
584.0,85.09
583.0,85.12
582.0,85.06
581.0,85.08
580.0,85.06
579.0,85.13
578.0,85.09
577.0,85.16
576.0,85.14
575.0,85.11
574.0,85.10
573.0,85.10
572.0,85.06
571.0,85.21
570.0,85.06
569.0,85.09
568.0,85.10
567.0,85.09
566.0,85.19
565.0,85.14
564.0,85.06
563.0,85.01
562.0,84.96
561.0,85.08
560.0,85.09
559.0,85.13
558.0,85.01
557.0,85.09
556.0,85.05
555.0,85.00
554.0,85.04
553.0,85.05
552.0,85.06
551.0,85.03
550.0,85.00
549.0,85.01
548.0,84.99
547.0,84.95
546.0,85.07
545.0,85.06
544.0,85.06
543.0,85.03
542.0,84.98
541.0,84.92
540.0,84.97
539.0,84.93
538.0,85.02
537.0,84.93
536.0,84.95
535.0,85.03
534.0,84.91
533.0,84.99
532.0,84.94
531.0,84.93
530.0,84.95
529.0,84.90
528.0,84.89
527.0,84.89
526.0,84.91
525.0,84.87
524.0,84.82
523.0,84.91
522.0,84.87
521.0,84.87
520.0,84.93
519.0,84.87
518.0,84.91
517.0,84.81
516.0,84.87
515.0,84.95
514.0,84.86
513.0,84.82
512.0,84.86
511.0,84.90
510.0,84.84
509.0,84.86
508.0,84.86
507.0,84.78
506.0,84.80
505.0,84.77
504.0,84.79
503.0,84.89
502.0,84.82
501.0,84.87
500.0,84.77
499.0,84.74
498.0,84.75
497.0,84.80
496.0,84.82
495.0,84.80
494.0,84.67
493.0,84.76
492.0,84.78
491.0,84.76
490.0,84.65
489.0,84.65
488.0,84.76
487.0,84.64
486.0,84.72
485.0,84.70
484.0,84.62
483.0,84.72
482.0,84.65
481.0,84.71
480.0,84.61
479.0,84.74
478.0,84.80
477.0,84.63
476.0,84.74
475.0,84.65
474.0,84.68
473.0,84.69
472.0,84.63
471.0,84.64
470.0,84.62
469.0,84.70
468.0,84.71
467.0,84.75
466.0,84.67
465.0,84.70
464.0,84.62
463.0,84.72
462.0,84.62
461.0,84.57
460.0,84.65
459.0,84.67
458.0,84.73
457.0,84.64
456.0,84.73
455.0,84.57
454.0,84.56
453.0,84.63
452.0,84.65
451.0,84.52
450.0,84.62
449.0,84.41
448.0,84.48
447.0,84.60
446.0,84.52
445.0,84.52
444.0,84.66
443.0,84.56
442.0,84.59
441.0,84.65
440.0,84.49
439.0,84.32
438.0,84.48
437.0,84.60
436.0,84.35
435.0,84.43
434.0,84.53
433.0,84.65
432.0,84.73
431.0,84.69
430.0,84.44
429.0,84.62
428.0,84.25
427.0,84.63
426.0,84.69
425.0,84.43
424.0,84.29
423.0,84.30
422.0,84.15
421.0,84.35
420.0,84.26
419.0,84.28
418.0,84.16
417.0,84.21
416.0,84.14
415.0,84.07
414.0,83.98
413.0,83.90
412.0,83.90
411.0,83.76
410.0,83.64
409.0,83.44
408.0,83.32
407.0,83.03
406.0,82.79
405.0,82.61
404.0,82.21
403.0,81.71
402.0,81.27
401.0,80.67
400.0,79.93
399.0,79.06
398.0,78.13
397.0,76.89
396.0,75.47
395.0,73.82
394.0,71.73
393.0,69.22
392.0,66.41
391.0,63.20
390.0,59.28
389.0,54.97
388.0,49.99
387.0,44.76
386.0,38.76
385.0,35.02
384.0,27.97
383.0,20.38
382.0,16.88
381.0,12.88
380.0,7.44
379.0,5.18
378.0,3.05
377.0,2.53
376.0,1.45
375.0,1.18
374.0,0.50
373.0,0.77
372.0,0.97
371.0,0.55
370.0,1.00
369.0,0.40
368.0,0.55
367.0,0.77
366.0,0.38
365.0,0.85
364.0,0.35
363.0,0.67
362.0,0.30
361.0,0.79
360.0,0.99
359.0,0.43
358.0,1.34
357.0,0.21
356.0,1.09
355.0,0.82
354.0,0.97
353.0,1.14
352.0,0.34
351.0,0.61
350.0,-0.15
349.0,1.33
348.0,1.15
347.0,1.06
346.0,1.30
345.0,-0.21
344.0,0.50
343.0,0.71
342.0,1.03
341.0,0.89
340.0,1.12
339.0,1.49
338.0,0.54
337.0,1.08
336.0,1.38
335.0,1.57
334.0,1.64
333.0,2.04
332.0,1.42
331.0,1.60
330.0,2.00
329.0,1.22
328.0,2.25
327.0,0.80
326.0,1.55
325.0,0.85
324.0,0.92
323.0,1.31
322.0,0.96
321.0,0.56
320.0,0.66
319.0,1.27
318.0,1.03
317.0,0.47
316.0,0.76
315.0,0.40
314.0,0.56
313.0,0.95
312.0,0.58
311.0,1.08
310.0,1.18
309.0,0.15
308.0,0.87
307.0,0.39
306.0,0.38
305.0,1.13
304.0,-0.16
303.0,0.63
302.0,0.68
301.0,1.22
300.0,0.42
299.0,0.47
298.0,1.32
297.0,1.04
296.0,-0.13
295.0,0.65
294.0,0.95
293.0,0.72
292.0,1.11
291.0,0.86
290.0,0.73
289.0,0.50
288.0,0.80
287.0,0.17
286.0,1.33
285.0,0.87
284.0,0.76
283.0,0.30
282.0,0.18
281.0,0.81
280.0,1.04
279.0,0.48
278.0,1.21
277.0,1.34
276.0,0.64
275.0,0.87
274.0,0.28
273.0,0.65
272.0,0.55
271.0,0.57
270.0,0.85
269.0,0.71
268.0,0.89
267.0,0.93
266.0,0.71
265.0,0.70
264.0,0.43
263.0,0.36
262.0,0.85
261.0,0.46
260.0,0.61
259.0,0.47
258.0,0.88
257.0,0.69
256.0,0.05
255.0,0.44
254.0,0.71
253.0,0.12
252.0,0.68
251.0,0.15
250.0,0.08
249.0,0.61
248.0,0.37
247.0,0.27
246.0,-0.03
245.0,0.39
244.0,0.37
243.0,0.26
242.0,0.50
241.0,0.15
240.0,0.25
239.0,0.41
238.0,0.39
237.0,0.33
236.0,0.51
235.0,0.39
234.0,0.54
233.0,0.45
232.0,0.23
231.0,0.00
230.0,0.29
229.0,0.21
228.0,0.22
227.0,1.05
226.0,0.43
225.0,0.89
224.0,-0.05
223.0,1.01
222.0,0.28
221.0,1.15
220.0,0.94
219.0,1.04
218.0,-0.19
217.0,1.05
216.0,0.83
215.0,0.65
214.0,0.67
213.0,0.78
212.0,1.14
211.0,1.28
210.0,-0.09
209.0,0.94
208.0,0.40
207.0,0.75
206.0,-0.90
205.0,1.43
204.0,1.93
203.0,0.97
202.0,3.33
201.0,2.10
200.0,5.40
